experiment,horizon,feature,training_median,train_missing_count,validation_missing_count,test_missing_count,fit_scope
E4_atmospheric,3,pm2_5_mean_24h,7.1125,0,0,0,training_only
E4_atmospheric,3,aerosol_optical_depth_lag_1h,0.2,0,0,0,training_only
E4_atmospheric,3,aerosol_optical_depth_lag_3h,0.2,0,0,0,training_only
E4_atmospheric,3,aerosol_optical_depth_lag_6h,0.2,0,0,0,training_only
E4_atmospheric,3,aerosol_optical_depth_mean_3h,0.20333333333333345,0,0,0,training_only
E4_atmospheric,3,aerosol_optical_depth_mean_6h,0.205,0,0,0,training_only
E4_atmospheric,3,aerosol_optical_depth_mean_24h,0.20375000000000001,0,0,0,training_only
E4_atmospheric,3,nitrogen_dioxide_lag_1h,1.8,0,0,0,training_only
E4_atmospheric,3,nitrogen_dioxide_lag_3h,1.8,0,0,0,training_only
E4_atmospheric,3,nitrogen_dioxide_lag_6h,1.8,0,0,0,training_only
E4_atmospheric,3,nitrogen_dioxide_mean_3h,1.8333333333333333,0,0,0,training_only
E4_atmospheric,3,nitrogen_dioxide_mean_6h,1.8333333333333333,0,0,0,training_only
E4_atmospheric,3,nitrogen_dioxide_mean_24h,1.9124999999999999,0,0,0,training_only
E4_atmospheric,3,ozone_mean_8h,47.125,0,0,0,training_only
E4_atmospheric,3,air_quality_missing_flag,0.0,0,0,0,training_only
E4_atmospheric,6,current_speed_input,94.0,0,0,0,training_only
E4_atmospheric,6,free_flow_speed_input,94.0,0,0,0,training_only
E4_atmospheric,6,current_travel_time_input,807.0,0,0,0,training_only
E4_atmospheric,6,tti_input,1.0,0,0,0,training_only
E4_atmospheric,6,speed_ratio_input,1.0,0,0,0,training_only
E4_atmospheric,6,speed_drop_input,0.0,0,0,0,training_only
E4_atmospheric,6,travel_time_delay_input,0.0,0,0,0,training_only
E4_atmospheric,6,speed_deficit_ratio_input,0.0,0,0,0,training_only
E4_atmospheric,6,missing_mask,0.0,0,0,0,training_only
E4_atmospheric,6,gap_length_steps,0.0,0,0,0,training_only
E4_atmospheric,6,coverage_ratio_6h,1.0,0,0,0,training_only
E4_atmospheric,6,coverage_ratio_24h,1.0,0,0,0,training_only
E4_atmospheric,6,volatility_tti_3h,0.0,0,0,0,training_only
E4_atmospheric,6,volatility_tti_6h,0.0,0,0,0,training_only
E4_atmospheric,6,confidence_input,1.0,0,0,0,training_only
E4_atmospheric,6,reliability_score,0.9895833333333331,0,0,0,training_only
E4_atmospheric,6,hour_sin,0.0,0,0,0,training_only
E4_atmospheric,6,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E4_atmospheric,6,dayofweek_sin,0.0,0,0,0,training_only
E4_atmospheric,6,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E4_atmospheric,6,is_weekend,0.0,0,0,0,training_only
E4_atmospheric,6,is_public_holiday,0.0,0,0,0,training_only
E4_atmospheric,6,is_school_holiday,0.0,0,0,0,training_only
E4_atmospheric,6,is_holiday_eve,0.0,0,0,0,training_only
E4_atmospheric,6,is_day_after_holiday,0.0,0,0,0,training_only
E4_atmospheric,6,pm2_5,7.1,0,0,0,training_only
E4_atmospheric,6,pm10,9.0,0,0,0,training_only
E4_atmospheric,6,nitrogen_dioxide,1.8,0,0,0,training_only
E4_atmospheric,6,carbon_monoxide,159.0,0,0,0,training_only
E4_atmospheric,6,ozone,47.0,0,0,0,training_only
E4_atmospheric,6,sulphur_dioxide,0.8,0,0,0,training_only
E4_atmospheric,6,aerosol_optical_depth,0.2,0,0,0,training_only
E4_atmospheric,6,dust,0.0,0,0,0,training_only
E4_atmospheric,6,pm2_5_lag_1h,7.1,0,0,0,training_only
E4_atmospheric,6,pm2_5_lag_3h,7.1,0,0,0,training_only
E4_atmospheric,6,pm2_5_lag_6h,7.1,0,0,0,training_only
E4_atmospheric,6,pm2_5_mean_3h,7.1333333333333355,0,0,0,training_only
E4_atmospheric,6,pm2_5_mean_6h,7.1000000000000005,0,0,0,training_only
E4_atmospheric,6,pm2_5_mean_24h,7.108333333333333,0,0,0,training_only
E4_atmospheric,6,aerosol_optical_depth_lag_1h,0.2,0,0,0,training_only
E4_atmospheric,6,aerosol_optical_depth_lag_3h,0.2,0,0,0,training_only
E4_atmospheric,6,aerosol_optical_depth_lag_6h,0.2,0,0,0,training_only
E4_atmospheric,6,aerosol_optical_depth_mean_3h,0.20333333333333345,0,0,0,training_only
E4_atmospheric,6,aerosol_optical_depth_mean_6h,0.205,0,0,0,training_only
E4_atmospheric,6,aerosol_optical_depth_mean_24h,0.20375000000000001,0,0,0,training_only
E4_atmospheric,6,nitrogen_dioxide_lag_1h,1.8,0,0,0,training_only
E4_atmospheric,6,nitrogen_dioxide_lag_3h,1.8,0,0,0,training_only
E4_atmospheric,6,nitrogen_dioxide_lag_6h,1.8,0,0,0,training_only
E4_atmospheric,6,nitrogen_dioxide_mean_3h,1.8333333333333333,0,0,0,training_only
E4_atmospheric,6,nitrogen_dioxide_mean_6h,1.8333333333333333,0,0,0,training_only
E4_atmospheric,6,nitrogen_dioxide_mean_24h,1.9124999999999999,0,0,0,training_only
E4_atmospheric,6,ozone_mean_8h,46.875,0,0,0,training_only
E4_atmospheric,6,air_quality_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,1,current_speed_input,94.0,0,0,0,training_only
E5_full_fusion,1,free_flow_speed_input,94.0,0,0,0,training_only
E5_full_fusion,1,current_travel_time_input,807.0,0,0,0,training_only
E5_full_fusion,1,tti_input,1.0,0,0,0,training_only
E5_full_fusion,1,speed_ratio_input,1.0,0,0,0,training_only
E5_full_fusion,1,speed_drop_input,0.0,0,0,0,training_only
E5_full_fusion,1,travel_time_delay_input,0.0,0,0,0,training_only
E5_full_fusion,1,speed_deficit_ratio_input,0.0,0,0,0,training_only
E5_full_fusion,1,missing_mask,0.0,0,0,0,training_only
E5_full_fusion,1,gap_length_steps,0.0,0,0,0,training_only
E5_full_fusion,1,coverage_ratio_6h,1.0,0,0,0,training_only
E5_full_fusion,1,coverage_ratio_24h,1.0,0,0,0,training_only
E5_full_fusion,1,volatility_tti_3h,0.0,0,0,0,training_only
E5_full_fusion,1,volatility_tti_6h,0.0,0,0,0,training_only
E5_full_fusion,1,confidence_input,1.0,0,0,0,training_only
E5_full_fusion,1,reliability_score,0.9895833333333331,0,0,0,training_only
E5_full_fusion,1,hour_sin,0.0,0,0,0,training_only
E5_full_fusion,1,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E5_full_fusion,1,dayofweek_sin,0.0,0,0,0,training_only
E5_full_fusion,1,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E5_full_fusion,1,is_weekend,0.0,0,0,0,training_only
E5_full_fusion,1,is_public_holiday,0.0,0,0,0,training_only
E5_full_fusion,1,is_school_holiday,0.0,0,0,0,training_only
E5_full_fusion,1,is_holiday_eve,0.0,0,0,0,training_only
E5_full_fusion,1,is_day_after_holiday,0.0,0,0,0,training_only
E5_full_fusion,1,precipitation,0.0,0,0,0,training_only
E5_full_fusion,1,rain_flag,0.0,0,0,0,training_only
E5_full_fusion,1,rain_lag_1h,0.0,0,0,0,training_only
E5_full_fusion,1,rain_lag_3h,0.0,0,0,0,training_only
E5_full_fusion,1,rain_lag_6h,0.0,0,0,0,training_only
E5_full_fusion,1,rain_sum_3h,0.2,0,0,0,training_only
E5_full_fusion,1,rain_sum_6h,0.5999999999999965,0,0,0,training_only
E5_full_fusion,1,rain_sum_12h,1.8999999999999981,0,0,0,training_only
E5_full_fusion,1,rain_sum_24h,5.6,0,0,0,training_only
E5_full_fusion,1,rain_max_3h,0.1,0,0,0,training_only
E5_full_fusion,1,rain_max_6h,0.3,0,0,0,training_only
E5_full_fusion,1,post_rain_1_3h,0.0,0,0,0,training_only
E5_full_fusion,1,post_rain_4_6h,0.0,0,0,0,training_only
E5_full_fusion,1,post_rain_7_12h,0.0,0,0,0,training_only
E5_full_fusion,1,rain_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,1,temperature_2m,24.9,0,0,0,training_only
E5_full_fusion,1,relative_humidity_2m,93.0,0,0,0,training_only
E5_full_fusion,1,dew_point_2m,23.4,0,0,0,training_only
E5_full_fusion,1,surface_pressure,1008.3,0,0,0,training_only
E5_full_fusion,1,wind_speed_10m,5.1,0,0,0,training_only
E5_full_fusion,1,wind_gusts_10m,14.0,0,0,0,training_only
E5_full_fusion,1,wind_u,0.6973482684659814,0,0,0,training_only
E5_full_fusion,1,wind_v,-3.0780007892507455,0,0,0,training_only
E5_full_fusion,1,wind_calm_flag,0.0,0,0,0,training_only
E5_full_fusion,1,wind_gust_ratio,2.6333333333333333,66,21,23,training_only
E5_full_fusion,1,wind_gust_ratio_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,1,cloud_cover,100.0,0,0,0,training_only
E5_full_fusion,1,boundary_layer_height,175.0,0,0,0,training_only
E5_full_fusion,1,shortwave_radiation,8.0,0,0,0,training_only
E5_full_fusion,1,weather_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,1,pm2_5,7.2,0,0,0,training_only
E5_full_fusion,1,pm10,9.0,0,0,0,training_only
E5_full_fusion,1,nitrogen_dioxide,1.8,0,0,0,training_only
E5_full_fusion,1,carbon_monoxide,159.0,0,0,0,training_only
E5_full_fusion,1,ozone,47.0,0,0,0,training_only
E5_full_fusion,1,sulphur_dioxide,0.8,0,0,0,training_only
E5_full_fusion,1,aerosol_optical_depth,0.21,0,0,0,training_only
E5_full_fusion,1,dust,0.0,0,0,0,training_only
E5_full_fusion,1,pm2_5_lag_1h,7.2,0,0,0,training_only
E5_full_fusion,1,pm2_5_lag_3h,7.2,0,0,0,training_only
E5_full_fusion,1,pm2_5_lag_6h,7.1,0,0,0,training_only
E5_full_fusion,1,pm2_5_mean_3h,7.2,0,0,0,training_only
E5_full_fusion,1,pm2_5_mean_6h,7.150000000000001,0,0,0,training_only
E5_full_fusion,1,pm2_5_mean_24h,7.125,0,0,0,training_only
E5_full_fusion,1,aerosol_optical_depth_lag_1h,0.21,0,0,0,training_only
E5_full_fusion,1,aerosol_optical_depth_lag_3h,0.2,0,0,0,training_only
E5_full_fusion,1,aerosol_optical_depth_lag_6h,0.2,0,0,0,training_only
E5_full_fusion,1,aerosol_optical_depth_mean_3h,0.20333333333333348,0,0,0,training_only
E5_full_fusion,1,aerosol_optical_depth_mean_6h,0.205,0,0,0,training_only
E5_full_fusion,1,aerosol_optical_depth_mean_24h,0.20416666666666664,0,0,0,training_only
E5_full_fusion,1,nitrogen_dioxide_lag_1h,1.8,0,0,0,training_only
E5_full_fusion,1,nitrogen_dioxide_lag_3h,1.8,0,0,0,training_only
E5_full_fusion,1,nitrogen_dioxide_lag_6h,1.8,0,0,0,training_only
E5_full_fusion,1,nitrogen_dioxide_mean_3h,1.8333333333333333,0,0,0,training_only
E5_full_fusion,1,nitrogen_dioxide_mean_6h,1.8333333333333333,0,0,0,training_only
E5_full_fusion,1,nitrogen_dioxide_mean_24h,1.9124999999999999,0,0,0,training_only
E5_full_fusion,1,ozone_mean_8h,47.125,0,0,0,training_only
E5_full_fusion,1,air_quality_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,1,corridor_km,39.60091171429056,0,0,0,training_only
E5_full_fusion,1,elevation_m,15.0,0,0,0,training_only
E5_full_fusion,1,lane_count,2.0,4054,846,801,training_only
E5_full_fusion,1,lane_count_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,1,distance_to_nearest_junction,0.07604,0,0,0,training_only
E5_full_fusion,1,osm_bridge_tagged,0.0,0,0,0,training_only
E5_full_fusion,1,distance_to_settlement,0.83038,0,0,0,training_only
E5_full_fusion,1,distance_to_major_intersection,0.31653,0,0,0,training_only
E5_full_fusion,3,current_speed_input,94.0,0,0,0,training_only
E5_full_fusion,3,free_flow_speed_input,94.0,0,0,0,training_only
E5_full_fusion,3,current_travel_time_input,807.0,0,0,0,training_only
E5_full_fusion,3,tti_input,1.0,0,0,0,training_only
E5_full_fusion,3,speed_ratio_input,1.0,0,0,0,training_only
E5_full_fusion,3,speed_drop_input,0.0,0,0,0,training_only
E5_full_fusion,3,travel_time_delay_input,0.0,0,0,0,training_only
E5_full_fusion,3,speed_deficit_ratio_input,0.0,0,0,0,training_only
E5_full_fusion,3,missing_mask,0.0,0,0,0,training_only
E5_full_fusion,3,gap_length_steps,0.0,0,0,0,training_only
E5_full_fusion,3,coverage_ratio_6h,1.0,0,0,0,training_only
E5_full_fusion,3,coverage_ratio_24h,1.0,0,0,0,training_only
E5_full_fusion,3,volatility_tti_3h,0.0,0,0,0,training_only
E5_full_fusion,3,volatility_tti_6h,0.0,0,0,0,training_only
E5_full_fusion,3,confidence_input,1.0,0,0,0,training_only
E5_full_fusion,3,reliability_score,0.9895833333333331,0,0,0,training_only
E5_full_fusion,3,hour_sin,0.0,0,0,0,training_only
E5_full_fusion,3,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E5_full_fusion,3,dayofweek_sin,0.0,0,0,0,training_only
E5_full_fusion,3,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E5_full_fusion,3,is_weekend,0.0,0,0,0,training_only
E5_full_fusion,3,is_public_holiday,0.0,0,0,0,training_only
E5_full_fusion,3,is_school_holiday,0.0,0,0,0,training_only
E5_full_fusion,3,is_holiday_eve,0.0,0,0,0,training_only
E5_full_fusion,3,is_day_after_holiday,0.0,0,0,0,training_only
E5_full_fusion,3,precipitation,0.0,0,0,0,training_only
E5_full_fusion,3,rain_flag,0.0,0,0,0,training_only
E5_full_fusion,3,rain_lag_1h,0.0,0,0,0,training_only
E5_full_fusion,3,rain_lag_3h,0.0,0,0,0,training_only
E5_full_fusion,3,rain_lag_6h,0.0,0,0,0,training_only
E5_full_fusion,3,rain_sum_3h,0.2,0,0,0,training_only
E5_full_fusion,3,rain_sum_6h,0.5999999999999972,0,0,0,training_only
E5_full_fusion,3,rain_sum_12h,1.8000000000000023,0,0,0,training_only
E5_full_fusion,3,rain_sum_24h,5.6000000000000005,0,0,0,training_only
E5_full_fusion,3,rain_max_3h,0.1,0,0,0,training_only
E5_full_fusion,3,rain_max_6h,0.3,0,0,0,training_only
E5_full_fusion,3,post_rain_1_3h,0.0,0,0,0,training_only
E5_full_fusion,3,post_rain_4_6h,0.0,0,0,0,training_only
E5_full_fusion,3,post_rain_7_12h,0.0,0,0,0,training_only
E5_full_fusion,3,rain_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,3,temperature_2m,24.9,0,0,0,training_only
E5_full_fusion,3,relative_humidity_2m,93.0,0,0,0,training_only
E5_full_fusion,3,dew_point_2m,23.4,0,0,0,training_only
E5_full_fusion,3,surface_pressure,1008.3,0,0,0,training_only
E5_full_fusion,3,wind_speed_10m,5.1,0,0,0,training_only
E5_full_fusion,3,wind_gusts_10m,14.0,0,0,0,training_only
E5_full_fusion,3,wind_u,0.6945927106677219,0,0,0,training_only
E5_full_fusion,3,wind_v,-3.083669916144204,0,0,0,training_only
E5_full_fusion,3,wind_calm_flag,0.0,0,0,0,training_only
E5_full_fusion,3,wind_gust_ratio,2.634146341463415,65,21,23,training_only
E5_full_fusion,3,wind_gust_ratio_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,3,cloud_cover,100.0,0,0,0,training_only
E5_full_fusion,3,boundary_layer_height,175.0,0,0,0,training_only
E5_full_fusion,3,shortwave_radiation,9.0,0,0,0,training_only
E5_full_fusion,3,weather_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,3,pm2_5,7.2,0,0,0,training_only
E5_full_fusion,3,pm10,9.0,0,0,0,training_only
E5_full_fusion,3,nitrogen_dioxide,1.8,0,0,0,training_only
E5_full_fusion,3,carbon_monoxide,159.0,0,0,0,training_only
E5_full_fusion,3,ozone,47.0,0,0,0,training_only
E5_full_fusion,3,sulphur_dioxide,0.8,0,0,0,training_only
E5_full_fusion,3,aerosol_optical_depth,0.21,0,0,0,training_only
E5_full_fusion,3,dust,0.0,0,0,0,training_only
E5_full_fusion,3,pm2_5_lag_1h,7.2,0,0,0,training_only
E5_full_fusion,3,pm2_5_lag_3h,7.1,0,0,0,training_only
E5_full_fusion,3,pm2_5_lag_6h,7.1,0,0,0,training_only
E5_full_fusion,3,pm2_5_mean_3h,7.166666666666669,0,0,0,training_only
E5_full_fusion,3,pm2_5_mean_6h,7.133333333333334,0,0,0,training_only
E5_full_fusion,3,pm2_5_mean_24h,7.1125,0,0,0,training_only
E5_full_fusion,3,aerosol_optical_depth_lag_1h,0.2,0,0,0,training_only
E5_full_fusion,3,aerosol_optical_depth_lag_3h,0.2,0,0,0,training_only
E5_full_fusion,3,aerosol_optical_depth_lag_6h,0.2,0,0,0,training_only
E5_full_fusion,3,aerosol_optical_depth_mean_3h,0.20333333333333345,0,0,0,training_only
E5_full_fusion,3,aerosol_optical_depth_mean_6h,0.205,0,0,0,training_only
E5_full_fusion,3,aerosol_optical_depth_mean_24h,0.20375000000000001,0,0,0,training_only
E5_full_fusion,3,nitrogen_dioxide_lag_1h,1.8,0,0,0,training_only
E5_full_fusion,3,nitrogen_dioxide_lag_3h,1.8,0,0,0,training_only
E5_full_fusion,3,nitrogen_dioxide_lag_6h,1.8,0,0,0,training_only
E5_full_fusion,3,nitrogen_dioxide_mean_3h,1.8333333333333333,0,0,0,training_only
E5_full_fusion,3,nitrogen_dioxide_mean_6h,1.8333333333333333,0,0,0,training_only
E5_full_fusion,3,nitrogen_dioxide_mean_24h,1.9124999999999999,0,0,0,training_only
E5_full_fusion,3,ozone_mean_8h,47.125,0,0,0,training_only
E5_full_fusion,3,air_quality_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,3,corridor_km,39.60091171429056,0,0,0,training_only
E5_full_fusion,3,elevation_m,15.0,0,0,0,training_only
E5_full_fusion,3,lane_count,2.0,4048,840,795,training_only
E5_full_fusion,3,lane_count_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,3,distance_to_nearest_junction,0.07604,0,0,0,training_only
E5_full_fusion,3,osm_bridge_tagged,0.0,0,0,0,training_only
E5_full_fusion,3,distance_to_settlement,0.83038,0,0,0,training_only
E5_full_fusion,3,distance_to_major_intersection,0.31653,0,0,0,training_only
E5_full_fusion,6,current_speed_input,94.0,0,0,0,training_only
E5_full_fusion,6,free_flow_speed_input,94.0,0,0,0,training_only
E5_full_fusion,6,current_travel_time_input,807.0,0,0,0,training_only
E5_full_fusion,6,tti_input,1.0,0,0,0,training_only
E5_full_fusion,6,speed_ratio_input,1.0,0,0,0,training_only
E5_full_fusion,6,speed_drop_input,0.0,0,0,0,training_only
E5_full_fusion,6,travel_time_delay_input,0.0,0,0,0,training_only
E5_full_fusion,6,speed_deficit_ratio_input,0.0,0,0,0,training_only
E5_full_fusion,6,missing_mask,0.0,0,0,0,training_only
E5_full_fusion,6,gap_length_steps,0.0,0,0,0,training_only
E5_full_fusion,6,coverage_ratio_6h,1.0,0,0,0,training_only
E5_full_fusion,6,coverage_ratio_24h,1.0,0,0,0,training_only
E5_full_fusion,6,volatility_tti_3h,0.0,0,0,0,training_only
E5_full_fusion,6,volatility_tti_6h,0.0,0,0,0,training_only
E5_full_fusion,6,confidence_input,1.0,0,0,0,training_only
E5_full_fusion,6,reliability_score,0.9895833333333331,0,0,0,training_only
E5_full_fusion,6,hour_sin,0.0,0,0,0,training_only
E5_full_fusion,6,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E5_full_fusion,6,dayofweek_sin,0.0,0,0,0,training_only
E5_full_fusion,6,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E5_full_fusion,6,is_weekend,0.0,0,0,0,training_only
E5_full_fusion,6,is_public_holiday,0.0,0,0,0,training_only
E5_full_fusion,6,is_school_holiday,0.0,0,0,0,training_only
E5_full_fusion,6,is_holiday_eve,0.0,0,0,0,training_only
E5_full_fusion,6,is_day_after_holiday,0.0,0,0,0,training_only
E5_full_fusion,6,precipitation,0.0,0,0,0,training_only
E5_full_fusion,6,rain_flag,0.0,0,0,0,training_only
E5_full_fusion,6,rain_lag_1h,0.0,0,0,0,training_only
E5_full_fusion,6,rain_lag_3h,0.0,0,0,0,training_only
E5_full_fusion,6,rain_lag_6h,0.0,0,0,0,training_only
E5_full_fusion,6,rain_sum_3h,0.2,0,0,0,training_only
E5_full_fusion,6,rain_sum_6h,0.5999999999999959,0,0,0,training_only
E5_full_fusion,6,rain_sum_12h,1.8000000000000012,0,0,0,training_only
E5_full_fusion,6,rain_sum_24h,5.6000000000000005,0,0,0,training_only
E5_full_fusion,6,rain_max_3h,0.1,0,0,0,training_only
E5_full_fusion,6,rain_max_6h,0.3,0,0,0,training_only
E5_full_fusion,6,post_rain_1_3h,0.0,0,0,0,training_only
E5_full_fusion,6,post_rain_4_6h,0.0,0,0,0,training_only
E5_full_fusion,6,post_rain_7_12h,0.0,0,0,0,training_only
E5_full_fusion,6,rain_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,6,temperature_2m,24.9,0,0,0,training_only
E5_full_fusion,6,relative_humidity_2m,93.0,0,0,0,training_only
E5_full_fusion,6,dew_point_2m,23.4,0,0,0,training_only
E5_full_fusion,6,surface_pressure,1008.3,0,0,0,training_only
E5_full_fusion,6,wind_speed_10m,5.1,0,0,0,training_only
E5_full_fusion,6,wind_gusts_10m,14.0,0,0,0,training_only
E5_full_fusion,6,wind_u,0.6883116461770169,0,0,0,training_only
E5_full_fusion,6,wind_v,-3.114678489184442,0,0,0,training_only
E5_full_fusion,6,wind_calm_flag,0.0,0,0,0,training_only
E5_full_fusion,6,wind_gust_ratio,2.6338028169014085,65,20,22,training_only
E5_full_fusion,6,wind_gust_ratio_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,6,cloud_cover,100.0,0,0,0,training_only
E5_full_fusion,6,boundary_layer_height,175.0,0,0,0,training_only
E5_full_fusion,6,shortwave_radiation,9.0,0,0,0,training_only
E5_full_fusion,6,weather_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,6,pm2_5,7.1,0,0,0,training_only
E5_full_fusion,6,pm10,9.0,0,0,0,training_only
E5_full_fusion,6,nitrogen_dioxide,1.8,0,0,0,training_only
E5_full_fusion,6,carbon_monoxide,159.0,0,0,0,training_only
E5_full_fusion,6,ozone,47.0,0,0,0,training_only
E5_full_fusion,6,sulphur_dioxide,0.8,0,0,0,training_only
E5_full_fusion,6,aerosol_optical_depth,0.2,0,0,0,training_only
E5_full_fusion,6,dust,0.0,0,0,0,training_only
E5_full_fusion,6,pm2_5_lag_1h,7.1,0,0,0,training_only
E5_full_fusion,6,pm2_5_lag_3h,7.1,0,0,0,training_only
E5_full_fusion,6,pm2_5_lag_6h,7.1,0,0,0,training_only
E5_full_fusion,6,pm2_5_mean_3h,7.1333333333333355,0,0,0,training_only
E5_full_fusion,6,pm2_5_mean_6h,7.1000000000000005,0,0,0,training_only
E5_full_fusion,6,pm2_5_mean_24h,7.108333333333333,0,0,0,training_only
E5_full_fusion,6,aerosol_optical_depth_lag_1h,0.2,0,0,0,training_only
E5_full_fusion,6,aerosol_optical_depth_lag_3h,0.2,0,0,0,training_only
E5_full_fusion,6,aerosol_optical_depth_lag_6h,0.2,0,0,0,training_only
E5_full_fusion,6,aerosol_optical_depth_mean_3h,0.20333333333333345,0,0,0,training_only
E5_full_fusion,6,aerosol_optical_depth_mean_6h,0.205,0,0,0,training_only
E5_full_fusion,6,aerosol_optical_depth_mean_24h,0.20375000000000001,0,0,0,training_only
E5_full_fusion,6,nitrogen_dioxide_lag_1h,1.8,0,0,0,training_only
E5_full_fusion,6,nitrogen_dioxide_lag_3h,1.8,0,0,0,training_only
E5_full_fusion,6,nitrogen_dioxide_lag_6h,1.8,0,0,0,training_only
E5_full_fusion,6,nitrogen_dioxide_mean_3h,1.8333333333333333,0,0,0,training_only
E5_full_fusion,6,nitrogen_dioxide_mean_6h,1.8333333333333333,0,0,0,training_only
E5_full_fusion,6,nitrogen_dioxide_mean_24h,1.9124999999999999,0,0,0,training_only
E5_full_fusion,6,ozone_mean_8h,46.875,0,0,0,training_only
E5_full_fusion,6,air_quality_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,6,corridor_km,39.60091171429056,0,0,0,training_only
E5_full_fusion,6,elevation_m,15.0,0,0,0,training_only
E5_full_fusion,6,lane_count,2.0,4039,831,787,training_only
E5_full_fusion,6,lane_count_missing_flag,0.0,0,0,0,training_only
E5_full_fusion,6,distance_to_nearest_junction,0.07604,0,0,0,training_only
E5_full_fusion,6,osm_bridge_tagged,0.0,0,0,0,training_only
E5_full_fusion,6,distance_to_settlement,0.83038,0,0,0,training_only
E5_full_fusion,6,distance_to_major_intersection,0.31653,0,0,0,training_only
